skills,values
javascript,1.65
html,1.32
sql,1.0
jquery,0.67
css,0.6
php,0.55
java,0.51
python,0.48
angular-js,0.41
node-js,0.35
ajax,0.31
front-end,0.29
hibernate,0.29
react-js,0.27
core-java,0.24
bootstrap,0.24
mongodb,0.22
git,0.22
web-development,0.19
web-technologies,0.19
